Epoch,Train_loss,Train_accuracy,Test_loss,Test_accuracy
1,2.3011564753868607,0.117422424,2.2971806290050667,17.51
2,2.1510926077782306,0.22428823,1.9349531411362912,28.97
3,1.7708885591150627,0.3452695,1.675426159042139,37.57
4,1.5753500403613518,0.41638675,1.5082697453209386,43.899998
5,1.4463262319641088,0.471869,1.4012683629989624,49.68
6,1.3380102056840713,0.51649475,1.3207864439525543,52.579998
7,1.2435415477151681,0.5518434,1.3706287320810384,51.91
8,1.1571496517629252,0.58599246,1.1047327358501788,60.579998
9,1.074424347508358,0.61644274,1.0839418601304198,61.37
10,0.9961110208557724,0.64553344,1.0225996889245397,63.989998
11,0.925173226622382,0.674924,0.9943832202841298,64.74
12,0.8615177179938772,0.69517756,0.906608632959116,68.08
13,0.8000027853101778,0.7180702,0.8532949241395956,70.82
14,0.7414562588346668,0.7399432,0.8883524637062329,69.67
15,0.6838205380750175,0.7604167,0.8199953077890622,71.509995
16,0.63092590938069,0.778131,0.8012170779248016,72.409996
17,0.5849079846363379,0.7950656,0.8050067133416002,72.75
18,0.5404979125075209,0.8111004,0.7492106436921385,74.36
19,0.49441461058206004,0.82601565,0.731583206893537,75.53
20,0.4490667098962719,0.8434301,0.713932777746036,76.299995
21,0.4042611667649226,0.8587052,0.757605145914486,75.479996
22,0.3626265177194575,0.8734405,0.8089198676256326,74.92
23,0.3208336755371178,0.88865566,0.7762508109545174,75.92
24,0.2788912592359216,0.90243125,0.7748194122181152,75.7
25,0.23762863060258096,0.9162268,0.8433451580163389,76.34
26,0.20099682362555923,0.92974246,0.9403610851722785,75.34
27,0.16838576498614793,0.940539,1.033535428273792,73.61
28,0.13528386717995894,0.953015,1.0601345602506267,74.939995
29,0.11624927199323515,0.9610525,0.9314870934326428,77.619995
30,0.08407445044494494,0.97228885,1.011492157134766,77.17
